# Pleiades Stellar Mass Catalogue
#
# Astrometric and photometric catalogue of candidate cluster members.
#
# Coordinate system: ICRS
# Astrometry: Gaia DR3
# Supplementary photometry: UKIDSS where available.
#
# ra            Right ascension (ICRS, J2000)                     deg
# dec           Declination (ICRS, J2000)                         deg
# par           Parallax                                          mas
# epar          Uncertainty in parallax                           mas
# pmra          Proper motion in RA x cos(Dec)                    mas yr^-1
# epmra         Uncertainty in pmra                               mas yr^-1
# pmdec         Proper motion in Declination                      mas yr^-1
# epmdec        Uncertainty in pmdec                              mas yr^-1
# gmag          Gaia G-band apparent magnitude                    mag
# g_flux        Gaia G-band flux                                  e- s^-1
# g_flux_err    Uncertainty in Gaia G-band flux                   e- s^-1
# bmag          Gaia BP-band apparent magnitude                   mag
# b_flux        Gaia BP-band flux                                 e- s^-1
# b_flux_err    Uncertainty in Gaia BP-band flux                  e- s^-1
# rmag          Gaia RP-band apparent magnitude                   mag
# r_flux        Gaia RP-band flux                                 e- s^-1
# r_flux_err    Uncertainty in Gaia RP-band flux                  e- s^-1
# g_r           Gaia G-RP colour                                  mag
# rv            Radial velocity                                   km s^-1
# rv_err        Uncertainty in radial velocity                    km s^-1
# egmag         Uncertainty in G-band magnitude                   mag
# ebmag         Uncertainty in BP-band magnitude                  mag
# ermag         Uncertainty in RP-band magnitude                  mag
# eg_r          Uncertainty in G-RP colour                        mag
# Survey        Source of supplementary infrared photometry       -
# zmag          UKIDSS Z-band magnitude                           mag
# ezmag         Uncertainty in Z-band magnitude                   mag
# ymag          UKIDSS Y-band magnitude                           mag
# eymag         Uncertainty in Y-band magnitude                   mag
# jmag          UKIDSS J-band magnitude                           mag
# ejmag         Uncertainty in J-band magnitude                   mag
# hmag          UKIDSS H-band magnitude                           mag
# ehmag         Uncertainty in H-band magnitude                   mag
# kmag          UKIDSS K-band magnitude                           mag
# ekmag         Uncertainty in K-band magnitude                   mag
# z_y           Z-Y colour                                        mag
# ez_y          Uncertainty in Z-Y colour                         mag
# y_j           Y-J colour                                        mag
# ey_j          Uncertainty in Y-J colour                         mag
# j_h           J-H colour                                        mag
# ej_h          Uncertainty in J-H colour                         mag
# h_k           H-K colour                                        mag
# eh_k          Uncertainty in H-K colour                         mag
# G_ABS         Absolute Gaia G-band magnitude                    mag
# B_ABS         Absolute Gaia BP-band magnitude                   mag
# R_ABS         Absolute Gaia RP-band magnitude                   mag
# eG_ABS        Uncertainty in absolute G magnitude               mag
# eB_ABS        Uncertainty in absolute BP magnitude              mag
# eR_ABS        Uncertainty in absolute RP magnitude              mag
# Mass_pc       Stellar mass from PARSEC isochrones              Msun
# eMass_pc      Uncertainty in PARSEC stellar mass               Msun
# Mass_mst      Stellar mass from MIST isochrones                Msun
# eMass_mst     Uncertainty in MIST stellar mass                 Msun
# Mass_ML       Stellar mass from empirical m-L relation         Msun
# eMass_ML      Uncertainty in empirical stellar mass            Msun
#
# Missing values are represented by NaN.
#
       ra       dec      par      epar      pmra     epmra      pmdec    epmdec      gmag           g_flux     g_flux_err      bmag           b_flux     b_flux_err      rmag           r_flux    r_flux_err       g_r          rv    rv_err    egmag    ebmag    ermag     eg_r Survey      zmag    ezmag      ymag    eymag      jmag             ejmag      hmag             ehmag              kmag             ekmag       z_y     ez_y       y_j              ey_j       j_h              ej_h               h_k              eh_k     G_ABS     B_ABS     R_ABS   eG_ABS   eB_ABS   eR_ABS  Mass_pc  eMass_pc  Mass_mst  eMass_mst  Mass_ML  eMass_ML
59.862231 21.805051 7.921575  0.087755 18.949543  0.080461 -47.736553  0.061903 16.787525      3630.249376       3.284426 18.772161       423.206397       8.669045 15.477419      5107.291460     15.961246  1.310106         NaN       NaN 0.000982 0.022240 0.003393 0.003532    G+U 14.593845 0.003097 14.072289 0.002319 13.474624          0.002306 12.947869          0.002104         12.611116          0.001054  0.521556 0.003869  0.597666          0.003270  0.526754          0.003122          0.336753          0.002354 11.281583 13.266219  9.971477 0.024076 0.032761 0.024294 0.242359  0.001361  0.202283   0.001422 0.204903  0.020333
59.455764 22.141791 7.344856  0.228252 19.269337  0.226652 -47.208340  0.156354 18.540195       722.550619       1.254375 20.786379        66.201130       7.136236 17.131638      1113.020852      8.108727  1.408558         NaN       NaN 0.001885 0.117038 0.007910 0.008131    G+U 16.149197 0.006605 15.498207 0.004835 14.831101          0.004562 14.285830          0.005163         13.896292          0.002802  0.650990 0.008185  0.667106          0.006647  0.545271          0.006890          0.389539          0.005875 12.870112 15.116296 11.461555 0.067508 0.135099 0.067944 0.135832  0.002135       NaN        NaN 0.124633  0.018364
59.572703 22.197840 6.803287  0.360315 18.438783  0.425266 -44.996778  0.314851 18.826096       555.275381       2.320383 21.040550        52.383774       7.147326 17.251047       997.101455      8.696756  1.575048         NaN       NaN 0.004537 0.148140 0.009470 0.010501    G+U 16.258976 0.007014 15.502584 0.004862 14.767984          0.004406 14.193452          0.004798         13.791290          0.002579  0.756391 0.008534  0.734600          0.006561  0.574533          0.006514          0.402162          0.005447 12.989690 15.204144 11.414641 0.115095 0.187541 0.115394 0.134143  0.003375       NaN        NaN 0.119665  0.018498
60.674638 22.471640 7.455210  0.268221 19.181386  0.278343 -47.912127  0.167618 18.830397       553.080353       1.015802 20.753119        68.260531       7.101627 17.416760       855.961238      6.669632  1.413637         NaN       NaN 0.001994 0.112957 0.008460 0.008692    G+U 16.439302 0.007500 15.775237 0.005324 15.057915          0.005088 14.528215          0.004425         14.096954          0.003517  0.664065 0.009198  0.717322          0.007364  0.529699          0.006743          0.431261          0.005652 13.192696 15.115418 11.779059 0.078150 0.137341 0.078581 0.125074  0.002140       NaN        NaN 0.124337  0.016018
60.034070 22.533500 7.006824  0.233964 18.421698  0.281481 -44.085614  0.178938 18.820350       558.221742       1.581320 20.857850        61.983698       7.279955 17.447090       832.380998     11.344926  1.373260         NaN       NaN 0.003076 0.127519 0.014798 0.015114    G+U 16.449493 0.007844 15.820272 0.005774 15.102223          0.005273 14.502928          0.006049         14.160334          0.003581  0.629222 0.009740  0.718048          0.007819  0.599296          0.008025          0.342594          0.007029 13.047956 15.085456 11.674696 0.072572 0.146692 0.074002 0.128776  0.002131       NaN        NaN 0.125958  0.018491
60.416021 22.798159 7.681697  0.300885 18.932567  0.333792 -46.756299  0.210005 18.985168       479.600219       1.139396 21.225480        44.179951       4.499944 17.567862       744.754630     10.308275  1.417307         NaN       NaN 0.002579 0.110588 0.015028 0.015248    G+U 16.669146 0.009377 15.898832 0.006330 15.153263          0.005683 14.574611          0.005826         14.196363          0.004052  0.770313 0.011313  0.745569          0.008507  0.578652          0.008139          0.378247          0.007097 13.412454 15.652766 11.995148 0.085094 0.139513 0.086372 0.115737  0.001695       NaN        NaN 0.115103  0.012238
60.462340 22.987541 7.519127  0.230987 19.072238  0.287461 -46.847030  0.168264 18.675580       637.844386       1.199984 20.824198        63.934849       4.517559 17.247227      1000.615695      7.377489  1.428352         NaN       NaN 0.002043 0.076717 0.008005 0.008262    G+U 16.362576 0.007745 15.631125 0.005382 14.906144          0.005019 14.311281          0.004394         13.898019          0.003256  0.731451 0.009432  0.724980          0.007359  0.594863          0.006671          0.413262          0.005469 13.056417 15.205035 11.628064 0.066739 0.101663 0.067186 0.129821  0.001810       NaN        NaN 0.122364  0.013167
60.708287 23.510606 7.092231  0.045546 17.656242  0.049752 -44.681984  0.028442 15.780696      9176.320340       4.516337 17.254316      1712.737144      11.275600 14.594400     11518.554006     14.207125  1.186295         NaN       NaN 0.000534 0.007148 0.001339 0.001442    G+U 13.869282 0.002142 13.467619 0.001698 12.896440          0.001740 12.332120          0.001276         12.051258          0.001002  0.401663 0.002733  0.571179          0.002431  0.564320          0.002158          0.280862          0.001623 10.034610 11.508230  8.848314 0.013955 0.015670 0.014009 0.398632  0.000988  0.342468   0.000984 0.372251  0.015404
61.733535 22.034448 7.335247  0.022843 18.053061  0.029082 -46.289392  0.020374 14.216793     38746.221956      42.244457 15.316298     10206.991418      49.515100 13.181704     42313.303871    110.323570  1.035089  -27.477623  5.758351 0.001184 0.005267 0.002831 0.003068    G+U 12.558037 0.001049 12.258742 0.000906 11.758093          0.000974 11.420336          0.000861         10.881825          0.000458  0.299294 0.001386  0.500649          0.001330  0.337757          0.001300          0.538511          0.000976  8.543867  9.643372  7.508778 0.006865 0.008571 0.007331 0.544413  0.000379  0.526357   0.001977 0.571977  0.009213
59.845483 22.571170 7.460596  0.019524 17.952584  0.025674 -45.482100  0.013761 13.755472     59259.473384      59.743145 14.696286     18067.676128      75.769920 12.791234     60626.808365    155.173630  0.964238   -2.392665  3.840645 0.001095 0.004553 0.002779 0.002987    G+U 12.106791 0.000929 11.874980 0.000841 11.410502          0.000866 10.914119          0.000674         10.606285          0.000392  0.231811 0.001253  0.464478          0.001207  0.496384          0.001097          0.307834          0.000780  8.119340  9.060154  7.155102 0.005787 0.007282 0.006326 0.583834  0.000410  0.581526   0.001186 0.624700  0.006992
